n_instancias,dimensiones,cohesion,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,silhouette_global,linkage,metric,p,pca,poda,ARI_Train,NMI_Train,FMI_Train,Purity_Train,Hungarian_accuracy_Train,ARI_test,NMI_test,FMI_test,Purity_test,Hungarian_accuracy_test
900,600,7.107667397404617e-15,4.816074938614904,1.3362549847380114,11.30128872548501,0.9999999999999999,complete,manhattan,1,600,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002462091142160914,0.5324992778921173,0.01621770876615239,0.465962441314554,0.08450704225352113
900,600,7.108695302002838e-15,4.816071531782643,1.3359613382570574,11.301277668295471,0.9999999999999998,complete,manhattan,1,600,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002462091142160914,0.5324992778921173,0.01621770876615239,0.465962441314554,0.08450704225352113
900,600,5.8448120445334945e-15,4.8160726872844615,1.3358095298357948,11.301264510408224,0.9999999999999999,complete,manhattan,1,600,4.6,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002462091142160914,0.5324992778921173,0.01621770876615239,0.465962441314554,0.08450704225352113
900,450,3.790870589623294e-15,4.808003235411325,1.3085168637873048,11.299651197694565,0.9999999999999999,complete,manhattan,1,450,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0025619012945138856,0.5320325291134581,0.0164217988331126,0.4647887323943662,0.08450704225352113
900,450,4.027612705078879e-15,4.808020894248113,1.307209109124033,11.299462993507813,0.9999999999999999,complete,manhattan,1,450,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0025724676656486618,0.5321967801491281,0.01643553517916398,0.4647887323943662,0.08450704225352113
900,450,4.012848531173081e-15,4.80802238843049,1.3085091791216446,11.299591910490374,0.9999999999999999,complete,manhattan,1,450,4.6,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0025619012945138856,0.532032529113458,0.0164217988331126,0.4647887323943662,0.08450704225352113
900,300,1.5673603930394022e-15,4.781305463518157,1.2526148883532044,11.28970755346348,1.0,complete,manhattan,1,300,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002546622640852367,0.5338128482679003,0.016327660593255508,0.46830985915492956,0.08450704225352113
900,300,2.2026039119624185e-15,4.781363312072361,1.253014773812642,11.289830957664739,1.0,complete,manhattan,1,300,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002536047619593522,0.5332514919092533,0.01631379421233106,0.465962441314554,0.08450704225352113
900,300,1.8586839770685887e-15,4.781312088116955,1.2550492623836607,11.291154445558305,1.0,complete,manhattan,1,300,4.6,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0023886010333179623,0.5334190446623717,0.01604666464917578,0.46830985915492956,0.08450704225352113
900,150,6.826423589209904e-16,4.680506511532602,1.1404761326991872,11.221905170211539,1.0,complete,manhattan,1,150,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0018248207491509297,0.5339062451591986,0.014843824255994825,0.4671361502347418,0.08333333333333333
900,150,6.665571656067225e-16,4.680543063589836,1.1432431825102436,11.227518247052677,1.0,complete,manhattan,1,150,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0018668858400667447,0.5355420697149892,0.014895953737798772,0.47183098591549294,0.08215962441314555
900,150,3.854128508431414e-16,4.680504667086847,1.1430828694311532,11.223728691839236,1.0,complete,manhattan,1,150,4.6,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0020304110001993017,0.5373455731124064,0.015186971569904163,0.47769953051643194,0.08450704225352113
900,600,6.08143893997956e-15,4.816076720434597,1.3368539780436994,11.30129048613896,0.9999999999999998,average,manhattan,1,600,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002462091142160914,0.5324992778921173,0.01621770876615239,0.465962441314554,0.08450704225352113
900,600,5.705722573150782e-15,4.816074010046991,1.3363999284485504,11.301273281809813,0.9999999999999999,average,manhattan,1,600,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002462091142160914,0.5324992778921173,0.01621770876615239,0.465962441314554,0.08450704225352113
900,600,5.768517611040773e-15,4.8160738339988765,1.3358393359077736,11.301291781847587,0.9999999999999999,average,manhattan,1,600,4.6,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002462091142160914,0.5324992778921173,0.01621770876615239,0.465962441314554,0.08450704225352113
900,450,3.713250837559322e-15,4.808015146375828,1.3066632378229048,11.299468055826656,0.9999999999999999,average,manhattan,1,450,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002604181484869702,0.5328368518678104,0.01647695196514909,0.465962441314554,0.08450704225352113
900,450,3.347785398042339e-15,4.808012754404712,1.3087518950706982,11.299266721586278,0.9999999999999999,average,manhattan,1,450,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0025619012945138856,0.5320325291134581,0.0164217988331126,0.4647887323943662,0.08450704225352113
900,450,3.49746904930954e-15,4.808010708578711,1.3093984160207344,11.299487874541194,0.9999999999999999,average,manhattan,1,450,4.6,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0025619012945138856,0.532032529113458,0.0164217988331126,0.4647887323943662,0.08450704225352113
900,300,1.636214184191581e-15,4.781298379637958,1.2544732452979548,11.290980146062125,1.0,average,manhattan,1,300,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0022989784450021837,0.5315213666186449,0.015932499860164952,0.4636150234741784,0.08450704225352113
900,300,1.6890975267594133e-15,4.781307097736786,1.2525778351924448,11.290230157804896,1.0,average,manhattan,1,300,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002404435137903498,0.5330780633524062,0.016067067282526475,0.465962441314554,0.08450704225352113
